Entity Type,Entity,Document Count
dates,"December 5, 2016",2
dates,"December 6, 2012",2
dates,"December 8, 1987",2
dates,"December 8, 2014",2
dates,"December 9, 2015",2
dates,Feb 11 2013,2
dates,"Feb 16, 2017",2
dates,Feb 17 2014,2
dates,"Feb 18, 2017",2
dates,"Feb 2, 2017",2
dates,"Feb 20, 2015",2
dates,"Feb 21, 2018",2
dates,"Feb 23, 2018",2
dates,"Feb 24, 2015",2
dates,"Feb 26, 2016",2
dates,"Feb 26, 2018",2
dates,"Feb 4, 2013",2
dates,"Feb 4, 2016",2
dates,"Feb 7, 2014",2
dates,"Feb 9, 2016",2
dates,"February 11, 2015",2
dates,"February 12, 2015",2
dates,"February 13, 2013",2
dates,"February 14, 2013",2
dates,"February 15, 2017",2
dates,"February 15, 2018",2
dates,"February 15, 2019",2
dates,"February 16, 2010",2
dates,"February 16, 2018",2
dates,"February 17, 2009",2
dates,"February 17, 2010",2
dates,"February 19, 2019",2
dates,"February 2, 2011",2
dates,"February 22, 2019",2
dates,"February 23, 2013",2
dates,"February 23, 2016",2
dates,"February 25, 1996",2
dates,"February 25, 2008",2
dates,"February 25, 2014",2
dates,"February 25, 2019",2
dates,"February 27, 2018",2
dates,"February 28, 2015",2
dates,"February 29, 2008",2
dates,"February 29, 2016",2
dates,"February 3, 2016",2
dates,"February 3, 2017",2
dates,"February 5, 2013",2
dates,"February 6, 2013",2
dates,"February 7, 2014",2
dates,"February 7, 2018",2
dates,"February 9, 2019",2
dates,"Jan 12, 2010",2
dates,"Jan 14, 2018",2
dates,"Jan 2, 2015",2
dates,"Jan 21, 2014",2
dates,"Jan 22, 2016",2
dates,"Jan 23, 2015",2
dates,"Jan 23, 2016",2
dates,"Jan 24, 2014",2
dates,"Jan 24, 2017",2
dates,"Jan 27, 2013",2
dates,"Jan 29, 2016",2
dates,"Jan 30, 2017",2
dates,"Jan 31, 2013",2
dates,"Jan 5, 2014",2
dates,"Jan 5, 2016",2
dates,"Jan 6, 2014",2
dates,"Jan 6, 2016",2
dates,"Jan 9, 2017",2
dates,"Janua 20, 2017",2
dates,"January 1, 2004",2
dates,"January 10, 2006",2
dates,"January 10, 2008",2
dates,"January 10, 2015",2
dates,"January 11, 2009",2
dates,"January 11, 2018",2
dates,"January 12, 2017",2
dates,"January 12, 2018",2
dates,January 13 2014,2
dates,"January 14, 1980",2
dates,January 15 2017,2
dates,"January 15, 2017",2
dates,"January 16, 1991",2
dates,"January 17, 1937",2
dates,"January 17, 1987",2
dates,"January 18, 1991",2
dates,"January 18, 2012",2
dates,"January 2, 2013",2
dates,"January 20, 2015",2
dates,"January 21, 2014",2
dates,"January 21, 2015",2
dates,"January 21, 2016",2
dates,"January 23, 2012",2
dates,January 24 2010,2
dates,"January 26, 2019",2
dates,"January 27, 2016",2
dates,"January 29, 2015",2
dates,"January 29, 2018",2
dates,"January 31, 2013",2
dates,"January 4, 2008",2
dates,"January 4, 2019",2
dates,"January 6, 2005",2
dates,"January 7, 2003",2
dates,"Jul 15, 2016",2
dates,"Jul 19, 2017",2
dates,"Jul 2, 2015",2
dates,"Jul 21, 2017",2
dates,"Jul 22, 2017",2
dates,"Jul 24, 2015",2
dates,"Jul 24, 2016",2
dates,"Jul 25, 2012",2
dates,"Jul 26, 2012",2
dates,"Jul 4, 2017",2
dates,"Jul 7, 2016",2
dates,"Jul 7, 2018",2
dates,July 1 2011,2
dates,"July 10, 1987",2
dates,"July 10, 2013",2
dates,"July 11, 2013",2
dates,"July 13, 2013",2
